"id","title","external_tags","targets"
ckkexsiit1589861ho7zmi9cocw,서머타임과 배치작업 : TOAST Meetup,"[{""name"": {""name"": ""백엔드""}}, {""name"": {""name"": ""서버 & 클라우드 & 아키텍쳐""}}]","{Java,개발 일반,서버 / 백엔드}"
ckn8mkaqb1804v9qy0kg61jtz,kubernetes를 이용한 서비스 무중단 배포,"[{""name"": ""Featured""}, {""name"": ""kubernetes""}]","{데브옵스,Kubernetes}"
ckn8nw36j75569nqy7448tj5i,"nodejs 테스트 도구와 방법론 (테스트의 중요성, 전략, mocha, chai, sinon, istanbul, 유용한 팁)",[],"{테스팅,서버 / 백엔드,툴 / 생산성}"
ckmu0jgw831073226pmetk3fa01,불규칙 속에서 규칙을 찾아내는 정규표현식,[],{개발 일반}
ckgk5budr2102910qmlswzezen,"새해, 사이드 프로젝트에 도움이 될만한 디자인 리소스 ","[""디자인"", ""무료이미지"", ""아이콘""]",{UI/UX}
ckg7saytc4710910p6fncoz2g1,Git 사용 중 자주 만나는 이슈 정리,"[{""name"": {""name"": ""기타""}}, {""name"": {""name"": ""Git""}}]",{Git / Github}
ckn8ob7ee164869nqyokcap8wq,TensorFlow 1.7과 TensorRT를 통합했습니다,[],{머신러닝}
ckn8ntsk452699nqyv7fce3a1,Spring WebClient 사용법,"[""Spring"", ""Webclient""]","{Framework,Java,서버 / 백엔드}"
ckn8mehl71637smqyqrk4gp9e,글로벌 분산 데이터베이스 Spanner,"[""NoSQL"", ""dbms"", ""분산시스템"", ""newsql"", ""spanner""]",{데이터베이스}
ckg7le4aw1996910p622135bcz,Cloudflare 도입 후기,"[{""name"": {""name"": ""백엔드""}}, {""name"": {""name"": ""서버 & 클라우드 & 아키텍쳐""}}]","{데브옵스,클라우드}"
ckj0rp2r1553441hntrjtbo1ac,개발자들이 코드리뷰를 하는 이유,[],"{IT 이야기,개발 일반}"
ckn8obbu3165889nqyllcfvhmz,Android P에서 SDK 지원 버전 업데이트에 대해 안내드립니다,[],"{Kotlin,안드로이드}"
ckjwd6db73695471jpkgu69nwp5,미국에서 앱/게임을 출시하기 위한 6가지 전략,[],"{개발 일반,게임}"
ckgg5tv534856610qid65a74tv,💵 캐시가 동작하는 아주 구체적인 원리,[],{컴퓨터 과학}
cklt63i6c13997952dm5vk4uijag,iOS 13 ) UIModalPresentationStyle (1),[],"{iOS,모바일}"
cklkjnrll1340462dm57fiibbro,Python을 활용해 GraphQL API 테스트하기,"[""QA"", ""Qa Engineer"", ""Testing"", ""GraphQL"", ""Api Test Automation""]","{테스팅,Python,GraphQL}"
ckn8mktjr0957vqqym7vba450,잘 키운 모노리스 하나 열 마이크로서비스 안 부럽다,,{아키텍처}
ckn8oef50187989nqyn6ve3um6,FASTCAT-ElasticSearch 테스트 - 검색,,{테스팅}
ckgbjttr92829410p7bgri5lgz,공식문서 만으로 iOS 개발 배우기 - Dev Story of Sungdoo,[],"{모바일,iOS}"
ckn8nyxww104449nqydlz4ax4z,"스프링 팁, ""생성자 안 만들고 생성자 주입을 쓸 수 있다?!"" (feat 롬복)","[""스프링"", ""스프링 팁"", ""스프링 프레임워크"", ""생성자 주입"", ""롬복"", ""Lombok"", ""@RequiredArgsConstructor"", ""Spring"", ""SpringFramework""]","{서버 / 백엔드,Framework}"
ckn8oe9sw187149nqyw4122grh,Few-shot text-to-speech 를 향한 여정 - Attentron,,"{머신러닝,데이터 과학}"
ckiqpr7iy3875161ts5zy75akc6,자동차용 Android를 통해 더 많은 운전자에게 다가가는 새로운 방법을 소개합니다,"[""Android""]","{안드로이드,Tech}"
ckjl5vi9p8071521ppe5nlbq3sc,네이티브 앱 → 리액트 네이티브 앱 전환 그리고 1년 후,,"{JavaScript,React,TypeScript,개발 일반}"
ckgbm0ch24311610p7dl89t3uo,웹개발자 기준 비전공자 신입으로서 전공자한테 안 밀리고 살아남는 법.tip,"[""Tips & 강좌""]",{비전공자 & 신입}
ckgfxhjj97991310ph793twiz1,작은 오픈소스 프로그램을 분석해서 실력을 쌓아 나간 사례,"[""Tips & 강좌"", ""오픈소스"", ""게임"", ""테트리스"", ""자바스크립트""]","{비전공자 & 신입,오픈소스,동기부여}"
ckkxfa9yz5851611ipgl2y0vymd,Objective-C 프로젝트에서 CocoaPods를 이용한 오픈소스 관리,"[""오픈소스"", ""모바일"", ""ios"", ""objective-c"", ""cocoapods"", ""os x""]","{비전공자 & 신입,모바일,툴 / 생산성,iOS}"
ckgfyw5z11789710qi3nu9auou,developer-roadmap,,"{웹 프론트엔드,서버 / 백엔드}"
ckgg5cvp44408610qi5aacrotn,개발자와 명상,,"{개발 일반,동기부여}"
ckiqpqgej3872491ts5whriupmm,기술 스택이 낡아갈 때 할 수 있는 일들 (1),"[""Tech Stack"", ""기술스택""]","{JavaScript,개발 일반}"
ckn8nsim038879nqy6roxhiub,Spring Data에서 Batch Insert 최적화,[],"{Framework,서버 / 백엔드,Performance}"
ckklyiemr2018011hmgmvx8utyg,iOS ) Snapshot Testing,[],"{모바일,iOS}"
ckn8npnnj07849nqyiu06u9y3,누구나 쉽게 이해할 수 있는 Git 입문~버전 관리를 완벽하게 이용해보자~ | Backlog,[],{Git / Github}
ckn8oa69e158849nqylzgceu13,내 맘대로 위클리 뉴스 - 2019년 8주(2019.2.18 - 2019.2.24),[],{개발 일반}
ckjw8hzcw3333131vpkjg1eozo4,사용자 여정: 온보딩,[],"{개발 일반,데브옵스}"
cknca7bcx002998qy8fepgsfb,"개발자 부업, 어디까지 해봤니?",[],"{개발 일반,커리어,동기부여}"
ckghp7kax18301610qiekjph2ux,MySQL performance-schema-instruments 사용에 따른 성능 영향 실험,[],{데이터베이스}
ckn8o6t6d145789nqygbqi8w3s,"[후기]MSA, K8S를 이용한 대륙의 서비스 개발 사례 | Popit","[""소프트웨어"", ""중국"", ""마이크로서비스"", ""kubernetes"", ""k8s""]","{아키텍처,데브옵스,Kubernetes}"
ckn8nx9gg88069nqyjh45w5rf,"Git Rebase --Interactive 옵션 알아보기 - 재그지그의 개발 블로그
  ",[],{Git / Github}
ckjw8fjj83339511jpk5ipdmeih,객체지향 철학 그리고 5대 개념,,"{컴퓨터 과학,Java,개발 일반}"
ckg7eyjdc680010p6ffrd4zr2,만들면서 배우는 아마존 VPC(Amazon VPC) 입문: AWS 네트워크의 기초,"[{""name"": {""name"": ""백엔드""}}, {""name"": {""name"": ""서버 & 클라우드 & 아키텍쳐""}}]","{AWS,데브옵스,서버 / 백엔드}"
ckn8ocuz8176749nqybxrlqc3k,REST 아키텍처를 훌륭하게 적용하기 위한 몇 가지 디자인 팁,,{아키텍처}
ckn8nwg2e79559nqykystfk2k,DNS 기반의 Redis HA 구현,"[""devops"", ""dns"", ""ha"", ""redis""]","{네트워크,데이터베이스}"
ckn8mefz71472smqysdopeyng,Mockserver Netty 사용해서 HTTP 통신 Mocking 하기 - Yun Blog | 기술 블로그,[],{웹}
ckg7mwcyb2533910p6ejg4f72j,다양한 서비스와 소통이 함께하는 '콘텐츠서비스개발팀' 이야기,"[{""name"": ""client""}, {""name"": ""contents""}, {""name"": ""kakao""}, {""name"": ""kakaokrew""}, {""name"": ""new-krew""}, {""name"": ""recruitment""}]",{기업 / 스타트업}
ckg96ru0c6267110o366w9b3rk,루빅스(RUBICS) - kakao의 실시간 추천 시스템,"[""aurora"", ""couchbase"", ""hbase"", ""kafka"", ""marathon"", ""mesos"", ""recommendation"", ""rubics"", ""spark"", ""spark-streaming""]","{머신러닝,데이터 과학}"
ckghp69ej18258010qiw33zsvva,JDBC를 사용한 MySQL SSL 연결,,{데이터베이스}
ckgfzywqs2626010qidj984d4v,괜찮은 프론트 개발자: 나는 어떤 개발자가 될 것인가?,[],"{동기부여,웹 프론트엔드,비전공자 & 신입}"
ckg6cnkzn6503510n1l1oe6b6i,페이지 주소가 바뀌어도 자연스럽게 이어지는 애니메이션 만들기,"[{""name"": {""name"": ""프론트엔드""}}, {""name"": {""name"": ""Javascript 관련""}}]","{JavaScript,UI/UX,개발 일반}"
ckn8nur3863479nqy560w85im,Spring RestTemplate Mock 기반 테스트 하기 | Popit,"[""소프트웨어"", ""Test"", ""Spring""]","{Framework,테스팅,서버 / 백엔드}"
ckghanpmo10935610qi39ufce08,이미지만으로 내 중고물품의 카테고리를 자동으로 분류해준다면? (feat. Keras),,"{머신러닝,데이터 과학}"
ckjw8e4u73327761jpksiw67mne,딥러닝 프레임워크 조사와 몇가지 홍보 | Popit,"[""소프트웨어"", ""deeplearning"", ""framework""]",{머신러닝}
ckn8meh8n1604smqyo75cqibv,[번역] 쿠버네티스 네트워킹 이해하기#1: Pods,[],"{데브옵스,Kubernetes}"
ckjw71lle3177551vpkb6ss72ml,[번역] 쿠버네티스에서 쉽게 저지르는 10가지 실수,[],"{Kubernetes,서버 / 백엔드,데브옵스}"
ckkw37bc94691581ipgxjt36vj8,리디북스 뷰어 형광펜 개선 후기,[],"{개발 일반,UI/UX,웹 프론트엔드,기획}"
ckizk56z7864531tmia59cyt3q,PostgreSQL의 슬로우 쿼리에 대처하기,,"{Performance,서버 / 백엔드,데이터베이스}"
ckn8o3jdo129049nqyqce8ljql,"127 Useful JavaScript Snippets You can understand in 30 seconds",[],{JavaScript}
ckl68mxrw3906931qp3juvswdkm,UISwitch 기록,[],"{iOS,모바일}"
ckga4c8wu1556610nzzst5rm0k,코드 가독성에 대해 - 3. 상태와 절차,"[{""name"": {""name"": ""개발 일반""}}, {""name"": {""name"": ""개발 문화/철학/방법론""}}, {""name"": ""Code Readability""}, {""name"": ""Dev Culture""}]",{개발 일반}
ckgiohv7c3380610qn0yrk8per,초보자를 위한 Vim 입문서VIM을 사용하자,[],{툴 / 생산성}
ckn8nwa8o77319nqywh2wrnom,Mysql FEDERATED Engine 으로 dblink 구현하기,[],{데이터베이스}
ckn8o6uvn146079nqybz4uonw7,Full Remote Mode Of CLion With Docker | Popit,"[""소프트웨어"", ""팁"", ""개발자"", ""docker"", ""CentOS"", ""Linux""]","{리눅스,데브옵스}"
ckih1jtx616601itiavs528h2,우리는 코드 리뷰를 잘하고 있을까요?,"[""코드리뷰"", ""스타일쉐어"", ""개발문화"", ""Develop"", ""Engeneering""]","{개발 일반,동기부여}"
ckga5z95n3637710nzvy5h8oma,[Unity] 스크립트 아이콘 변경하기,,"{유니티,게임}"
ckjw71xif3179761vpk0erykszl,[iOS][Network]Mock 데이터로 서비스 개발하기 - OHHTTPStubs,[],{iOS}
ckgby6al03260710ph9yfch58f,확률적 자료구조를 이용한 추정 - 원소 포함 여부 판단(Membership Query)과 Bloom Filter,"[""성능"", ""자료구조"", ""추정"", ""확률"", ""bloom filter"", ""membership query""]",{컴퓨터 과학}
ckn8odzyv185229nqyvd2ucbi1,Node CPU 점유율 최적화 경험기,,"{커리어,하드웨어,Performance}"
ckn8nwb9577659nqylxoahqzv,Docker Swarm을 이용한 쉽고 빠른 분산 서버 관리,[],"{데브옵스,서버 / 백엔드}"
ckgkmzzdz4052510o62p26ahmi,RESTful API 설계 가이드,[],{서버 / 백엔드}
ckn8np8xp04759nqyv0j1ny0a,"2019년에는 Vue.js를 배워야 하는 3가지 이유",[],{웹 프론트엔드}
ckkcbbub44303911uquxz8nml54,Jetpack Compose 등을 이용한 Android 개발에 대한 모던한 접근 방식을 소개합니다,[],"{안드로이드,Kotlin}"
ckgbz5hqu3953210phipy4bbsf,소프트웨어 테스팅의 False Positive,[],{테스팅}
ckn8nqm5v19309nqyvo5v5xp4,"데이터 분석, 먹고 들어가기 위한 SQL 공부법(1편)","[""SQL"", ""데이터분석"", ""데이터베이스""]","{데이터 과학,데이터베이스}"
ckgiuqa7k091710mrc5g0y7s6,Apache 재단에 700만원을 후원하면 생기는 일 | Guru's Blog,[],{개발 일반}
ckn8nyu0g103059nqyzghz3jzf,"스프링 부트, 포매터 손쉽게 사용하기","[""스프링"", ""Spring""]","{서버 / 백엔드,Framework}"
ckj7usour2712752ys6l2jgmx5e,개발자를 위한 정보 검색 팁,[],"{비전공자 & 신입,개발 일반}"
ckn8nyvjf103569nqyg189ld4t,Kubernetes 로 내부 시스템 이전하며 겪은 일들 - 임찬식,"[""DevOps"", ""DevOps Korea"", ""데브옵스"", ""데브옵스코리아"", ""kubernetes"", ""이전"", ""임찬식"", ""k8s""]","{데브옵스,Kubernetes}"
ckjw8guoz3327291vpkta77a6rv,"2020년 상반기 회고 1편: 코드스쿼드 마스터즈 코스","[""개발자"", ""교육"", ""학습""]","{동기부여,개발 일반}"
ckn8nto5w51419nqyxvo2fbgt,안심번호 마이크로서비스 개발하기,"[""Programming"", ""Typescript"", ""Grpc""]",{아키텍처}
cklk5ezk7164735426p9da6937kk,iOS ) UITableView달라진 점!!,[],"{모바일,iOS}"
ckga3qonc994010nzwgl2258n,안드로이드와 Java의 Reflection,"[{""name"": {""name"": ""언어 & 프레임워크""}}, {""name"": {""name"": ""Java & Spring""}}]","{안드로이드,모바일}"
ckj7uulhe2718021hs6y5bh2v8e,[번역] 웹 아키텍쳐 입문,[],"{IT 이야기,웹,아키텍처,비전공자 & 신입}"
ckjw8lk023374541jpkyd56b36e,새로운 TensorFlow Hub 웹 경험,[],"{데이터 과학,머신러닝}"
ckg7oqooo3027510p6vwjgrlec,AWS로 사용자 천만 명 서비스 만들기 (윤석찬)- 클라우드 태권 2015 ,"[{""name"": {""name"": ""백엔드""}}, {""name"": {""name"": ""서버 & 클라우드 & 아키텍쳐""}}]","{서버 / 백엔드,AWS,데브옵스}"
ckiifkpbm1392611itip8j5nkne,기술부채 (기업이 아닌 개인의),[],"{개발 일반,동기부여}"
ckg7r9my53961110p6ckhy53yi,카카오톡의 백엔드를 담당하는 '기반서비스개발팀' 이야기,"[{""name"": ""kakao""}, {""name"": ""kakaokrew""}, {""name"": ""kakaotalk""}, {""name"": ""new-krew""}, {""name"": ""server""}, {""name"": ""service""}]",{기업 / 스타트업}
ckg7sn3hg4945710p6d0pd1aut,실시간 댓글 개발기(part.3) - Spring의 동시성 접근 제어에 발목 잡힌 이야기,"[{""name"": ""Backend""}, {""name"": ""Java""}, {""name"": ""Messaging""}, {""name"": ""Thread-Debugging""}, {""name"": ""WebSocket""}]","{Java,서버 / 백엔드}"
ckg9700mw6358810o30uiuw4kh,kakao의 오픈소스 Ep4 - HBase Tools,"[""hbase"", ""hbase-manager"", ""hbase-snashot"", ""hbase-table-stat"", ""hbase-tools"", ""opensource""]","{툴 / 생산성,데이터 과학,오픈소스}"
ckn8o0x69114499nqye10t5d4m,한글 인코딩의 이해 2편: 유니코드와 Java를 이용한 한글 처리,"[""JAVA"", ""한글"", ""인코딩"", ""유니코드""]",{Java}
ckn8o1ml7118739nqyp5rhbsxv,(빅데이터를 위한) 리버스 지오코딩 솔루션 개발기 : TOAST Meetup,,{데이터 과학}
ckn8nz47a105979nqy6wmwn24s,[Spring JPA] 프록시( proxy )와 지연로딩,[],"{Java,Framework,서버 / 백엔드}"
ckgbljce23926710p7ybxyc1jt,"32살에 개발에 입문한 비전공자가 인프런 창업한 이야기 [슬라이드]",,"{비전공자 & 신입,동기부여,기업 / 스타트업}"
ckn8ntix849769nqy7rwiehhw,"
                    웹 페이지 속도 테스트를 위해 꼭 알아야 할 4가지 서비스                ","[""사이트속도"", ""속도측정"", ""구글"", ""모바일속도"", ""구글모바일"", ""사이트속도측정"", ""속도측정방법"", ""pingdom"", ""dareboost"", ""속도테스트""]","{웹,테스팅}"
ckn8nutcd64079nqymyqhnj4s,GitHub Actions으로 날씨알리미 만들기 - Qiita,[],{Git / Github}
ckn8obgga166929nqykuoajodd,Google I/O 2018 for Android 소스를 공개합니다,[],"{안드로이드,Kotlin}"
ckkvudcmf4183591zpgvufpy508,시계열 예측 패키지 Prophet 소개,,"{마케팅,데이터 과학}"
ckjw8h1wi3349701jpku99epluv,What Actually is a String in JavaScript?,"[""javascript"", ""string""]","{비전공자 & 신입,JavaScript}"
ckn8mkwum1282vqqym2cfhr06,"Ksug2015 - JPA1, JPA 소개",,{Java}
ckn8nxgvv89759nqysau3tyge,Jest로 기본적인 테스트 작성하기,[],{테스팅}
cklhng1oq121470926p9mgvzk0w7,"2020 카카오 블라인드 공채 2차 오프라인 코딩 테스트 문제 해설","[{""name"": ""blind-recruitment""}, {""name"": ""coding""}, {""name"": ""test""}]","{알고리즘,개발 일반,비전공자 & 신입,컴퓨터 과학}"
ckn8npt0z08839nqytpxrgirq,Opening Mail Server,[],{서버 / 백엔드}
ckn8ob3ff163749nqyclu7q48c,웹에서 앱을 위한 보다 안전한 홈! .app을 소개합니다,[],{보안}
ckhei6un57555210mfcixjkio9,쇼미더머니: 실리콘밸리 에디션 | Popit,"[""기타"", ""엔지니어"", ""실리콘밸리""]",{동기부여}
ckgfyu82w1711610qilkrdp929,"20세기 폭스에서 ML을 사용해 영화 관람객을 예측하는 방법",[],{머신러닝}
ckn8nv92f67689nqymstp3fvv,사이드 프로젝트로 성장하기,,"{동기부여,비전공자 & 신입}"
ckn8nylv7100219nqyjuamct6h,리디의 개발 문화 적응기,,{개발 일반}
ckjw8fb4s3337141jpkygm5vpu2,여러분의 앱은 폴더블폰에서 잘 동작하나요?,[],"{모바일,UI/UX,개발 일반,안드로이드}"
ckg92phza3734810o38mtrhcwv,자바 프로그래머가 자주 실수 하는 10가지 - 1,"[{""name"": {""name"": ""언어 & 프레임워크""}}, {""name"": {""name"": ""Java & Spring""}}]",{Java}
ckjwa028c3522961vpkkw0mwdth,[A5] 프론트엔드에서 TDD가 가능하다는 것을 보여드립니다.,"[""FECONF"", ""front-end"", ""FEConf2020"", ""프론트엔드"", ""TDD""]","{웹,JavaScript,웹 프론트엔드,테스팅}"
ckg7m9vb12294810p66rbjkqus,빠르게 서비스를 개발할 수 있는 Node.js,"[""node.js"", ""자바스크립트""]",{JavaScript}
ckgg4mmew3706010qi515mll04,개발자가 알아두면 좋은 영어 표현들 및 발음 실수들,,"{동기부여,비전공자 & 신입,개발 일반}"
ckgipjfxi3929410qn65l809v0,분산 웹 캐시 (Wcache)의 개선과정 - Part 1,"[{""name"": ""storage""}, {""name"": ""web-cache""}]","{웹,서버 / 백엔드,데이터베이스}"
ckn8ocnjc175709nqy7ddlvbtn,Android 11로 업그레이드하기: Developer Preview 3,"[""Android""]","{Kotlin,안드로이드}"
ckhd3ltze1066510n75ge9pe26,우리는 불편함을 어떻게 마주하고 있는가,,"{개발 일반,데브옵스}"
ckn8obkwh168069nqyt30ulplh,Android에서 Google 어시스턴트 미디어 작업 통합 검증하기,[],"{Kotlin,테스팅,안드로이드}"
ckgbpv9zo018410phrbhibc25,OAuth 2를 이용한 SSO 환경 구축 (1/2),[],"{보안,웹}"
ckn8nyuk5103229nqy9kkxvgwk,[2019] 아직도 돈 주고 DB 쓰나요 for DBA,"[""NHNFORWARD"", ""NHN"", ""기술콘퍼런스"", ""콘퍼런스"", ""IT"", ""개발 방법론"", ""검색"", ""게임"", ""기획"", ""디자인"", ""머신러닝"", ""모바일"", ""백엔드"", ""브랜딩"", ""빅 데이터"", ""생산성"", ""아키텍처"", ""알고리즘"", ""인프라"", ""클라우드"", ""테스트"", ""프런트엔드"", ""언어"", ""추천 시스템"", ""모니터링""]",{데이터베이스}
ckghsdj602271510qn835gy0p8,비주얼 스튜디오 코드(Visual Studio Code)란?,[],{툴 / 생산성}
ckg64l3a23779510n1yomz9qbh,멀티 쓰레드 프로그램 설계를 위한 8가지 규칙,"[{""name"": {""name"": ""백엔드""}}, {""name"": {""name"": ""서버 & 클라우드 & 아키텍쳐""}}, {""name"": ""쓰레드""}, {""name"": ""IT""}, {""name"": ""소프트웨어""}]",{개발 일반}
ckn86utfd77747926pcssttzitp,Java 11로 전환해야 하는 이유 - Azure,[],{Java}
ckjw8en2i3330771jpktbw25fpg,MnasNet: 모바일 머신러닝 모델 설계의 자동화를 향해,[],"{데이터 과학,머신러닝,IT 이야기}"
ckn8oc6y3172349nqyt6yzdb2o,Android Q 베타 4와 최종 API 소식을 전해드립니다.,[],"{안드로이드,Kotlin}"
ckg8oow7f268910o3dl3ynqxs,Docker 기반 분산 트랜스코더 개발,"[""Docker"", ""트랜스코더"", ""트랜스코딩""]","{Performance,개발 일반}"
ckjxmf52x821321tklnrrxj1hd,"17화 최신 기술일수록 장단점을  모두 알아야 하는 이유","[""기술"", ""환경"", ""장단점""]","{컴퓨터 과학,개발 일반,서버 / 백엔드,클라우드,아키텍처,데이터베이스}"
ckgbp1y235403710p74qmk76km,[번역] 어려운 것을 쉽게 배우는 방법 : 슈퍼 파워를 장착하기 위한 3단계 학습법,[],{비전공자 & 신입}
ckn8ocmxj175549nqyokr05lgu,Dreamer 소개: 현실 세계 모델을 사용하는 확장 가능한 강화 학습,"[""ML/Tensorflow""]","{머신러닝,데이터 과학}"
ckh4izmgk964180yqoiuzfv57f,웹 기술로 구현하는 Adaptive HTTP Streaming : TOAST Meetup,,"{웹,네트워크}"
ckn8o1np6119059nqy3i1w4wot,TOAST CDN 소개(TOAST Service 들여다 보기) : TOAST Meetup,,{네트워크}
ckn8o1yi9120819nqyqi894cqd,리눅스 서버의 TCP 네트워크 성능을 결정짓는 커널 파라미터 이야기 - 2편 : TOAST Meetup,,"{서버 / 백엔드,네트워크,운영체제,Performance,리눅스}"
ckiqpndke3856561ts5ls6qzso6,Kotlin Android Extensions의 미래,"[""Android""]","{안드로이드,Java,Kotlin}"
ckkcmghtc4572461iquoh73677t,개선된 페이지 스택으로 LINE 증권의 웹 페이지 전환 처리하기,"[""Front-End""]","{JavaScript,오픈소스,모바일,웹 프론트엔드,안드로이드}"
ckn8nowm001879nqyyefkwajb,  마이크로서비스 – MicroServices :: Channy's Blog,[],{아키텍처}
ckg665tex4577310n1d04ed5la,JavaScript 배틀그라운드로부터 살아남기,"[{""name"": {""name"": ""프론트엔드""}}, {""name"": {""name"": ""Javascript 관련""}}]","{세미나,JavaScript}"
ckghqbtfw371910qnepe61i5p,[영문] 알고리즘 & 자료구조 온라인 사전,,"{알고리즘,컴퓨터 과학}"
ckn8nst9b41919nqykj2fnkon,"스프링 부트에서 Request 유효성 검사하는 방법, 서버 개발한다면 꼭 해야하는 작업 Spring Validation",[],"{서버 / 백엔드,Framework}"
cklhngf62121552126p98wgbdtyb,⚛️ 🚀 React Component Patterns,[],"{웹 프론트엔드,React,디자인패턴,JavaScript}"
ckg7lnm872102710p6v0om5mpa,flexbox로 만들 수 있는 10가지 레이아웃,"[""CSS"", ""flexbox""]","{웹,UI/UX}"
ckn8mjy5f0935v9qy29vh7769,"2020년 9월 회고 | 개발자 황준일(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)(opens new window)",[],{동기부여}
ckg92qr9a3777910o381o3kfw6,프런트엔드 트랜드가 한눈에! 2019 년의 가장 핫했던 JavaScript 라이브러리,"[{""name"": {""name"": ""프론트엔드""}}, {""name"": {""name"": ""Javascript 관련""}}]","{JavaScript,툴 / 생산성,오픈소스}"
ckn8nqksk18669nqy4e5n7vyv,Java Lambda Expression과 성능,"[{""name"": {""name"": ""언어 & 프레임워크""}}, {""name"": {""name"": ""Java & Spring""}}, {""name"": ""java""}, {""name"": ""collection""}, {""name"": ""자료구조""}]","{Performance,Java}"
ckg8qp4s3853110o3m4a0gu0a,테라폼(Terraform) 기초 튜토리얼: AWS로 시작하는 Infrastructure as Code,"[{""name"": {""name"": ""백엔드""}}, {""name"": {""name"": ""서버 & 클라우드 & 아키텍쳐""}}]","{데브옵스,AWS}"
ckmzqi0dp246132dpmsx5ce9nz,파이썬 데이터 사이언스 핸드북,[],"{Python,머신러닝,데이터 과학}"
ckn8ntrqv52379nqy8ks17eoa,[Vue.js] SPA 튜토리얼 — Part1,"[""Vuejs"", ""Front End Development"", ""JavaScript"", ""API"", ""Cryptocurrency""]",{웹 프론트엔드}
ckn8nr5ni26799nqy34ncrb2i,Elastic Stack과 Lambda를 활용한 데이터 모니터링 시스템 구축,"[{""name"": {""name"": ""백엔드""}}, {""name"": {""name"": ""서버 & 클라우드 & 아키텍쳐""}}, {""name"": ""모니터링""}, {""name"": ""람다""}, {""name"": ""elastic stack""}, {""name"": ""lambda""}]",{데브옵스}
